State,Year,Week,Mean_Max_Temp,Max_Temp,Min_Max_Temp,SD_Temp,Mean_Min_Temp,Min_Temp,Heat_Days_Count,Mean_Humidity_Max,Mean_Humidity_Min,Total_Rainfall,Mean_Solar_Radiation,Week_Start_Date,Mean_Temp,Deaths,Population,Death_Rate_Per_100k,Mean_Temp_Lag1,Mean_Temp_Lag2,Max_Temp_Lag1,Max_Temp_Lag2,Min_Temp_Lag1,Min_Temp_Lag2,SD_Temp_Lag1,SD_Temp_Lag2,Heat_Days_Count_Lag1,Heat_Days_Count_Lag2,Mean_Humidity_Max_Lag1,Mean_Humidity_Max_Lag2,Total_Rainfall_Lag1,Total_Rainfall_Lag2,Log_Population,Mean_Temp_Scaled,Max_Temp_Scaled,Min_Temp_Scaled,SD_Temp_Scaled,Mean_Max_Temp_Scaled,Mean_Min_Temp_Scaled,Heat_Days_Count_Scaled,Mean_Humidity_Max_Scaled,Mean_Humidity_Min_Scaled,Total_Rainfall_Scaled,Mean_Solar_Radiation_Scaled,Death_Rate_Per_100k_Scaled,Mean_Temp_Lag1_Scaled,Mean_Temp_Lag2_Scaled,Max_Temp_Lag1_Scaled,Max_Temp_Lag2_Scaled,Min_Temp_Lag1_Scaled,Min_Temp_Lag2_Scaled,SD_Temp_Lag1_Scaled,SD_Temp_Lag2_Scaled,Heat_Days_Count_Lag1_Scaled,Heat_Days_Count_Lag2_Scaled,Mean_Humidity_Max_Lag1_Scaled,Mean_Humidity_Max_Lag2_Scaled,Total_Rainfall_Lag1_Scaled,Total_Rainfall_Lag2_Scaled
NSW,2019,39,21.114285714285717,24.8,19.5,1.7315008628629787,11.885714285714286,8.7,0,43.6,77.88571428571429,0.0,20.400000000000002,2019-09-23,16.5,981,8000000,12.262500000000001,17.635714285714286,15.471428571428572,27.0,27.5,8.8,8.3,3.8548052881467063,4.421807430495017,0.0,0.0,59.15714285714286,42.142857142857146,83.0,0.6000000000000001,15.89495209964411,-0.48470573222999186,-0.444911302978384,-0.5191695554443081,-0.6122590472150431,-0.470941642288512,-0.472853265204951,-0.44184270594028,-0.7717245618579522,-1.1510521842920711,-0.5449639663918266,0.6563579610782712,-0.3202999980314179,-0.23938788078681963,-0.7017459345705065,-0.07115854587934468,0.015548783734661148,-0.4987971558467409,-0.5927764094617515,0.75653181886119,1.1262850279998657,-0.440564338090742,-0.4392804457333169,0.90855014509131,-0.9317617326816654,1.7427443527206572,-0.5279064388440252
NSW,2019,40,23.185714285714287,32.9,17.9,5.6212183055006175,14.12857142857143,11.6,1,50.885714285714286,83.95714285714287,18.8,17.728571428571428,2019-09-30,18.65714285714286,1045,8000000,13.062499999999998,16.5,17.635714285714286,24.8,27.0,8.7,8.8,1.7315008628629787,3.8548052881467063,0.0,0.0,43.6,59.15714285714286,0.0,83.0,15.89495209964411,-0.022135178425542204,0.9218898386441886,0.034294439648363366,1.8903335499345233,-0.04607958082801846,0.003871197623205205,0.8514763174288386,0.015898716196063072,-0.3804277278021575,-0.026344249691752916,0.20096178464062106,0.23202978702447416,-0.4829618102247555,-0.23754501155621102,-0.4427390711044231,-0.06896725328997713,-0.5178778958205157,-0.49737641784285036,-0.6117424993793887,0.7600326545443259,-0.440564338090742,-0.4392804457333169,-0.7736102280645313,0.9083713353280175,-0.5447914362055148,1.743280518739451
NSW,2019,41,19.47142857142857,22.6,17.7,1.9644458809159449,12.814285714285715,10.6,0,56.84285714285714,86.77142857142857,9.5,19.014285714285712,2019-10-07,16.142857142857142,1017,8000000,12.712499999999999,18.65714285714286,16.5,32.9,24.8,11.6,8.7,5.6212183055006175,1.7315008628629787,1.0,0.0,50.885714285714286,43.6,18.8,0.0,15.89495209964411,-0.561290261005563,-0.816141242678342,-0.15655521383186816,-0.4623853131149866,-0.8079012082744216,-0.275483264671001,-0.44184270594028,0.6598965729578755,-0.023220626793893834,-0.2828954925274277,0.4201364150116822,-0.009614493937479221,-0.0203245354432672,-0.4811355949201483,0.9253528626788202,-0.4408378161983854,0.03546356341894721,-0.5164564161666308,1.8948224653982462,-0.6115058763473177,0.8538004371645771,-0.4392804457333169,0.014178376443713886,-0.7741684724490983,-0.026650799677658973,-0.5444442079526428
NSW,2019,42,24.414285714285715,28.2,21.6,2.669224963310867,13.9,11.9,0,39.800000000000004,73.98571428571428,0.0,23.928571428571427,2019-10-14,19.15714285714286,986,8000000,12.325,16.142857142857142,18.65714285714286,22.6,32.9,10.6,11.6,1.9644458809159449,5.6212183055006175,0.0,1.0,56.84285714285714,50.885714285714286,9.5,18.8,15.89495209964411,0.08508316186025731,0.1288076947397328,0.09154933569243297,-0.008939801908041264,0.20590757286579156,-0.044712187123613446,-0.44184270594028,-1.1825241539410267,-1.6460650704608861,-0.5449639663918266,1.2578705577632945,-0.2771492335739274,-0.5595573855197039,-0.018466688153424553,-0.8143195963295016,0.9283219836007542,-0.1553438363187986,0.036863535222995715,-0.46163087055754853,1.9010388550309678,-0.440564338090742,0.8561401503800561,0.6583114118945731,0.013797828713738225,-0.28296505072601325,-0.026260775882626413
NSW,2019,43,26.82857142857143,36.1,22.2,5.091729989474529,16.17142857142857,11.8,2,37.68571428571429,71.15714285714286,0.0,25.685714285714287,2019-10-21,21.5,1074,8000000,13.425,19.15714285714286,16.142857142857142,28.2,22.6,11.9,10.6,2.669224963310867,1.9644458809159449,0.0,0.0,39.800000000000004,56.84285714285714,0.0,9.5,15.89495209964411,0.5874776706280034,1.4618606600259463,0.07246437034440988,1.5496677922013533,0.7010916307059535,0.43808519879789465,2.144795340797957,-1.4110893405135643,-2.005085405484421,-0.5449639663918266,1.557409219270412,0.48230422087792785,0.08690926996966049,-0.5577364072987451,0.13152174060706168,-0.8127083791067937,0.09270578334027109,-0.15393644801480652,-0.007465604856059018,-0.46103613492236856,-0.440564338090742,-0.4392804457333169,-1.1844960492394196,0.6580761573115868,-0.5447914362055148,-0.2825961970661984
NSW,2019,44,25.857142857142858,29.3,21.2,2.441896218690946,16.385714285714286,13.1,0,51.642857142857146,91.84285714285714,0.9,24.17142857142857,2019-10-28,21.121428571428574,1000,8000000,12.5,21.5,19.15714285714286,36.1,28.2,11.8,11.9,5.091729989474529,2.669224963310867,2.0,0.0,37.68571428571429,39.800000000000004,0.0,0.0,15.89495209964411,0.5062980701258986,0.3144226645897121,0.32056891986871067,-0.15520010019318772,0.5018459742968943,0.4836321219980372,-0.44184270594028,0.09774976273893163,0.6204774486270913,-0.5201364267625678,1.2992702101667173,-0.1563270930929501,0.5893762439045214,0.08877444917661069,1.4658336266425713,0.13387123556915462,0.07362504336649657,0.09410353019433652,1.5536159685813147,-0.005787393498055209,2.148165212419896,-0.4392804457333169,-1.4131092129006357,-1.1851469746242245,-0.5447914362055148,-0.5444442079526428
NSW,2019,45,25.014285714285712,30.9,18.6,4.8133247592589505,14.757142857142856,11.8,1,32.18571428571429,57.5,14.8,27.87142857142857,2019-11-04,19.885714285714286,967,8000000,12.0875,21.121428571428574,21.5,29.3,36.1,13.1,11.8,2.441896218690946,5.091729989474529,0.0,2.0,51.642857142857146,37.68571428571429,0.9,0.0,15.89495209964411,0.24131560056242216,0.5844080752805904,0.07246437034440988,1.3705455607230772,0.32897106653021,0.13747550567695546,0.8514763174288386,-2.0056676974759093,-3.7385371240829057,-0.13668887026623666,1.930006090901216,-0.4411221385123952,0.5081849340918766,0.5912757783802042,0.3173120032196012,1.4692246205584396,0.3216746630255659,0.07502353187055637,-0.15395806225285685,1.559018361672051,-0.440564338090742,2.151560746493429,0.09604660397104162,-1.4138117051577535,-0.5199868312653516,-0.5444442079526428
NSW,2019,46,26.314285714285713,36.1,21.4,5.516166715944618,15.571428571428571,13.8,2,35.628571428571426,62.51428571428572,0.0,26.185714285714287,2019-11-11,20.942857142857143,961,8000000,12.012500000000001,19.885714285714286,21.121428571428574,30.9,29.3,11.8,13.1,4.8133247592589505,2.441896218690946,1.0,0.0,32.18571428571429,51.642857142857146,14.8,0.9,15.89495209964411,0.46800580573811257,1.4618606600259463,0.45416367730487295,1.8227447509488153,0.5956086361364512,0.3105538138374963,2.144795340797957,-1.6334770896111694,-3.102091984723001,-0.5449639663918266,1.642643797748047,-0.4929030558613847,0.24316424357135494,0.5100789172588922,0.5875523852014761,0.31980651702335905,0.07362504336649657,0.3230635100796991,1.3742094162133334,-0.15262932945068466,0.8538004371645771,-0.4392804457333169,-2.0078123751274486,0.09568452275615094,-0.13689348830060702,-0.5196375542897166
NSW,2019,47,25.342857142857145,32.4,21.5,3.596228182812812,17.47142857142857,15.4,1,51.65714285714285,79.87142857142858,3.7,22.228571428571428,2019-11-18,21.40714285714286,949,8000000,11.862499999999999,20.942857142857143,19.885714285714286,36.1,30.9,13.8,11.8,5.516166715944618,4.8133247592589505,2.0,1.0,35.628571428571426,32.18571428571429,0.0,14.8,15.89495209964411,0.5675656931463552,0.8375193978032891,0.7595231228732433,0.5874817708338178,0.3963629797273927,0.7144031995454247,0.8514763174288386,0.09929412210766403,-0.899012656169487,-0.4428951923604291,0.9680729909393357,-0.5964648905593664,0.469887146444402,0.2450401064289476,1.4658336266425713,0.5902578355022011,0.4552398428419882,0.07502353187055637,1.8271263826471273,1.3791838095016056,2.148165212419896,0.8561401503800561,-1.635543642408847,-2.0086490109375417,-0.5447914362055148,-0.1365125699400767
NSW,2019,48,26.071428571428573,34.4,22.2,4.527219266361449,17.24285714285714,13.4,1,47.65714285714286,80.27142857142857,3.4000000000000004,23.02857142857143,2019-11-25,21.65714285714286,974,8000000,12.175,21.40714285714286,20.942857142857143,32.4,36.1,15.4,13.8,3.596228182812812,5.516166715944618,1.0,2.0,51.65714285714285,35.628571428571426,3.7,0.0,15.89495209964411,0.621174863289255,1.1750011611668874,0.37782381591278025,1.1864690823957498,0.5457972220341869,0.6658198147986057,0.8514763174288386,-0.333126501137677,-0.8482421037419174,-0.45117103890351545,1.1044483165035517,-0.38071106827190654,0.569461394327835,0.4717785110695935,0.8409027433094842,1.4692246205584396,0.7605316824223814,0.45662349834616084,0.5899026684198542,1.8331812736630893,0.8538004371645771,2.151560746493429,0.09759128750929211,-1.6362963078390256,-0.44281694922928794,-0.5444442079526428
NSW,2019,49,27.142857142857142,33.3,22.3,3.70083645628802,16.75714285714286,13.5,1,35.31428571428571,62.771428571428565,0.0,25.571428571428573,2019-12-02,21.950000000000003,982,8000000,12.275,21.65714285714286,21.40714285714286,34.4,32.4,13.4,15.4,4.527219266361449,3.596228182812812,1.0,1.0,47.65714285714286,51.65714285714285,3.4000000000000004,3.7,15.89495209964411,0.6839741768852236,0.9893861913169081,0.39690878126080337,0.6547853461346834,0.7655534607206489,0.5625801222116177,0.8514763174288386,-1.6674529957233037,-3.0694537724481354,-0.5449639663918266,1.5379270299040955,-0.31166984513992,0.623078297034299,0.5713595671617693,1.1787032207868284,0.843805946576116,0.3789168829468898,0.7619034715266444,1.1898407531155284,0.5930059866069325,0.8538004371645771,0.8561401503800561,-0.33492010320111626,0.09722955471921435,-0.451085150876009,-0.44246129844950133
NSW,2019,50,24.900000000000002,29.9,21.8,2.918332857414771,18.842857142857145,17.9,0,59.0,85.39999999999999,0.2,21.657142857142855,2019-12-09,21.871428571428574,949,8000000,11.862499999999999,21.950000000000003,21.65714285714286,33.3,34.4,13.5,13.4,3.70083645628802,4.527219266361449,1.0,1.0,35.31428571428571,47.65714285714286,0.0,3.4000000000000004,15.89495209964411,0.6671255805545978,0.41566719359879123,1.2366472565738218,0.1513329122079762,0.30553040107032153,1.0059035080263359,-0.44184270594028,0.8930948376366136,-0.19729109225985164,-0.5394467353631024,0.8706620441077526,-0.5964648905593664,0.6858866687761569,0.6249801358267869,0.9929129581742888,1.1818700946746692,0.3979976229206643,0.3803035050510399,0.6573130747503021,1.19437530878168,0.8538004371645771,0.8561401503800561,-1.6695266802503794,-0.3353793949388128,-0.5447914362055148,-0.45073018300381
NSW,2019,51,26.857142857142858,39.3,21.7,5.98494142072617,18.442857142857143,15.9,1,49.771428571428565,79.54285714285713,0.0,26.514285714285712,2019-12-16,22.65,977,8000000,12.2125,21.871428571428574,21.950000000000003,29.9,33.3,17.9,13.5,2.918332857414771,3.70083645628802,0.0,1.0,59.0,35.31428571428571,0.2,0.0,15.89495209964411,0.834079853285342,2.0018314814077027,0.8549479496133591,2.1243481767035055,0.7069517970709258,0.9208825847194032,0.8514763174288386,-0.10456131456514,-0.9407170385207085,-0.5449639663918266,1.6986550921762067,-0.35482060959741174,0.6690356422112681,0.6877928019772365,0.4186521464628041,0.9959348132204646,1.2375501817667456,0.39938350337482004,0.15306151029268836,0.6605772100324789,-0.440564338090742,0.8561401503800561,0.8915586261705438,-1.6702870110264425,-0.5392793017743674,-0.5444442079526428
NSW,2019,52,26.728571428571428,28.4,23.7,1.542416162728988,19.442857142857147,16.6,0,54.800000000000004,84.02857142857144,3.0,26.014285714285712,2019-12-23,23.08571428571429,921,8000000,11.512500000000001,22.65,21.871428571428574,39.3,29.9,15.9,17.9,5.98494142072617,2.918332857414771,1.0,0.0,49.771428571428565,59.0,0.0,0.2,15.89495209964411,0.9275129783915397,0.1625558710760925,0.9885427070495214,-0.7339136346672077,0.68058104842855,1.1334348929867346,-0.44184270594028,0.4390531832290051,-0.3713615577258058,-0.4622055009609638,1.6134205136985718,-0.8381091715213185,0.8360139963542548,0.6709406232539451,2.006314390606321,0.4212257614529246,0.8559353822912543,1.2389034296211496,2.1292085438085904,0.15512268187520423,0.8538004371645771,-0.4392804457333169,-0.10630693953990081,0.891375983734309,-0.5447914362055148,-0.5389316182497703
NSW,2020,1,30.728571428571428,44.1,24.9,7.435884678528908,20.099999999999998,18.6,2,46.642857142857146,83.44285714285715,0.0,25.585714285714285,2019-12-30,25.41428571428571,989,8000000,12.3625,23.08571428571429,22.65,28.4,39.3,16.6,15.9,1.542416162728988,5.98494142072617,0.0,1.0,54.800000000000004,49.771428571428565,3.0,0.0,15.89495209964411,1.4268441060082617,2.8117877134803395,1.3702420140099845,3.057865818899882,1.5010043395246762,1.2731121241338363,2.144795340797957,-0.4427760163177456,-0.44570415235189187,-0.5449639663918266,1.5403623035748848,-0.2512587748994314,0.9294605982140928,0.837930394239285,0.16530178835479598,2.0101272575161238,0.9895005621076767,0.8573034631455455,-0.7335901892748161,2.1359840947090354,-0.440564338090742,0.8561401503800561,0.4374216659246147,-0.10671466440528456,-0.46210941973830383,-0.5444442079526428
NSW,2020,2,25.014285714285712,29.0,21.9,2.6667261898118766,19.97142857142857,18.8,0,62.68571428571429,85.42857142857143,2.8,14.942857142857145,2020-01-06,22.49285714285714,968,8000000,12.1,25.41428571428571,23.08571428571429,44.1,28.4,18.6,16.6,7.435884678528908,1.542416162728988,2.0,0.0,46.642857142857146,54.800000000000004,0.0,3.0,15.89495209964411,0.8003826606240905,0.26380040008517225,1.4084119447060306,-0.01054747962570247,0.32897106653021,1.2457839702137514,-0.44184270594028,1.2915395547698219,-0.19366462422930955,-0.46772273198968795,-0.27391658116334466,-0.4324919856208973,1.4288637491371545,0.9313833853411738,2.817035536551948,0.1676776503790098,1.3711153615831684,0.9908634514120073,3.064207959453156,-0.7336442512066864,2.148165212419896,-0.4392804457333169,-0.44459263441696983,0.4371365865933802,-0.5447914362055148,-0.4617553624095551
NSW,2020,3,25.142857142857142,27.4,22.1,2.174746838030535,18.728571428571428,17.2,0,66.17142857142856,96.52857142857144,50.0,17.342857142857145,2020-01-13,21.935714285714283,874,8000000,10.925,22.49285714285714,25.41428571428571,29.0,44.1,18.8,18.6,2.6667261898118766,7.435884678528908,0.0,2.0,62.68571428571429,46.642857142857146,2.8,0.0,15.89495209964411,0.6809107957341997,-0.0061850106057066215,1.1030524991376598,-0.327080467400652,0.3553418151725858,0.981611815652926,-0.44184270594028,1.6683632407407611,1.2152182056357779,0.8343437907892204,0.1352093955293032,-1.243726357421741,0.8023119432244772,1.4308206820496223,0.2666419315979994,2.8214812129526523,1.4092768415307173,1.3724634178876116,-0.009075834442102346,3.0732140842090026,-0.440564338090742,2.151560746493429,1.2900869790394214,-0.44507666431638393,-0.4676215541694512,-0.5444442079526428
NSW,2020,4,30.785714285714285,40.6,25.6,4.846795701432915,21.37142857142857,18.9,4,51.699999999999996,86.0,12.0,24.285714285714285,2020-01-20,26.07857142857143,1019,8000000,12.737499999999999,21.935714285714283,22.49285714285714,27.4,29.0,17.2,18.8,2.174746838030535,2.6667261898118766,0.0,0.0,66.17142857142856,62.68571428571429,50.0,2.8,15.89495209964411,1.5692913295308248,2.2211946275940426,1.4274969100540533,1.3920803208539785,1.5127246722546208,1.5433572017880142,4.731433387536195,0.10392720021386428,-0.12113526361849454,-0.21393010466837534,1.318752399533034,0.007645811845517712,0.6828228457643578,0.8042260367927022,-0.0035984503838760976,0.26909689480857596,1.1039850019503237,1.410623414535172,-0.3261112553319285,-0.007401464515393279,-0.440564338090742,-0.4392804457333169,1.6669897623727765,1.289994230204921,0.8332421715813358,-0.4672679521124276
NSW,2020,5,29.757142857142856,35.8,27.7,2.8872461751971317,22.557142857142857,19.9,2,58.699999999999996,89.25714285714285,0.0,24.571428571428573,2020-01-27,26.15714285714286,963,8000000,12.0375,26.07857142857143,21.935714285714283,40.6,27.4,18.9,17.2,4.846795701432915,2.174746838030535,4.0,0.0,51.699999999999996,66.17142857142856,12.0,50.0,15.89495209964411,1.5861399258614506,1.4112383955214058,1.6183465635342849,0.1313321533006529,1.301758683115617,1.7953835101621352,2.144795340797957,0.8606632908932125,0.29228209186315185,-0.5449639663918266,1.3674578729488256,-0.475642750078389,1.5713315191857593,0.6847287694820915,2.2258847009665956,-0.0013544236702667468,1.4283575815044915,1.105343441354688,1.3957783584896302,-0.3251932184138188,4.736894762930534,-0.4392804457333169,0.10222533812404667,1.6669820291926296,-0.2140633703366707,0.8337032177654858
